accuracy,balanced_accuracy,macro_f1,model,target,ari,nmi
0.26988265971316816,0.26262747635028244,0.2645570269921231,kmeans_hvg,condition,0.049093941528969794,0.06432738168499906
0.2781399391568883,0.26876249222600956,0.24243276330169014,pca_kmeans,condition,0.051167431369397366,0.06237902839044723
0.9834854411125598,0.9837146493534041,0.9834482993609353,logistic_pca,p53,,
0.9643633202955237,0.9633019947120811,0.9641835888620267,random_forest_pca,p53,,
0.9860930030421556,0.9860544398063622,0.9860544398063622,mlp_pca,p53,,
0.9939156888309431,0.9934219176522996,0.9936141663308545,logistic_pca,cenpa,,
0.9526292916123424,0.9497140984997143,0.9507068757464031,random_forest_pca,cenpa,,
0.9878313776618861,0.987125899940858,0.9874879122982824,mlp_pca,cenpa,,
0.9817470664928292,0.9802580762016242,0.9797440686265181,logistic_pca,condition,,
0.9239461103867883,0.916281831699775,0.9180326861009996,random_forest_pca,condition,,
0.9778357235984355,0.9753109986082354,0.9755324807394814,mlp_pca,condition,,
