gene_id,gene_full_id,mean_log,var_log,detected_cells,detected_fraction,original_index,acute_vs_control_log_delta,p53DN_vs_p53WT_log_delta,candidate_score,gene_symbol,biotype,description,seq_region_name
ENSG00000168209,ENSG00000168209.4,1.473715,0.34270072,9147,0.994131072709488,21592,-0.6333144,0.29206014,0.9253755,DDIT4,protein_coding,DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944],10
ENSG00000205420,ENSG00000205420.10,2.0615468,0.3145817,9191,0.998913161612868,6135,-0.70503926,0.07295346,0.77799374,KRT6A,protein_coding,keratin 6A [Source:HGNC Symbol;Acc:HGNC:6443],12
ENSG00000197061,ENSG00000197061.4,2.0374765,1.1684338,9084,0.9872839908705576,13767,-0.36301816,0.3967402,0.75975937,H4C3,protein_coding,H4 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4787],6
ENSG00000185088,ENSG00000185088.13,1.1621652,0.1976971,9165,0.9960873818063254,798,0.1432296,-0.49259835,0.635829,RPS27L,protein_coding,ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476],15
ENSG00000205426,ENSG00000205426.10,2.7265108,0.36176118,9199,0.9997826323225736,7445,-0.49018812,0.11494589,0.605135,KRT81,protein_coding,keratin 81 [Source:HGNC Symbol;Acc:HGNC:6458],12
ENSG00000186081,ENSG00000186081.11,1.5187532,0.24403434,9172,0.9968481686773176,4331,-0.4713521,0.10706735,0.57842046,KRT5,protein_coding,keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442],12
ENSG00000104131,ENSG00000104131.12,1.6764052,0.14246617,9198,0.9996739484838604,3784,-0.120485425,0.4506265,0.57111293,EIF3J,protein_coding,eukaryotic translation initiation factor 3 subunit J [Source:HGNC Symbol;Acc:HGNC:3270],15
ENSG00000018699,ENSG00000018699.12,0.4742301,0.12335105,7695,0.8363221388979458,19144,0.5129908,-0.039287537,0.5522793,TTC27,protein_coding,tetratricopeptide repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25986],2
ENSG00000183696,ENSG00000183696.13,0.95930403,0.17231964,9072,0.9859797848059992,1583,-0.32950288,0.21666956,0.54617345,UPP1,protein_coding,uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576],7
ENSG00000164687,ENSG00000164687.10,2.152324,0.1392408,9201,1.0,18429,-0.30654716,0.21579242,0.5223406,FABP5,protein_coding,fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560],8
ENSG00000104980,ENSG00000104980.7,0.84112686,0.11282172,9049,0.983480056515596,4766,-0.1556077,0.34712273,0.50273144,TIMM44,protein_coding,translocase of inner mitochondrial membrane 44 [Source:HGNC Symbol;Acc:HGNC:17316],19
ENSG00000136997,ENSG00000136997.17,1.0155437,0.23554483,8956,0.97337245951527,15942,-0.49118823,0.00024998188,0.49143922,MYC,protein_coding,"MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]",8
ENSG00000197245,ENSG00000197245.5,0.95317596,0.36413938,8781,0.954352787740463,9653,-0.10959315,0.36633497,0.47592914,FAM110D,protein_coding,family with sequence similarity 110 member D [Source:HGNC Symbol;Acc:HGNC:25860],1
ENSG00000105974,ENSG00000105974.11,1.8399389,0.18720263,9196,0.999456580806434,12455,-0.46382558,0.004173279,0.46799988,CAV1,protein_coding,caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527],7
ENSG00000147604,ENSG00000147604.13,2.231603,0.07615479,9201,1.0,22039,0.21122098,-0.2550521,0.46627408,RPL7,protein_coding,ribosomal protein L7 [Source:HGNC Symbol;Acc:HGNC:10363],8
ENSG00000054148,ENSG00000054148.17,1.386658,0.11480284,9198,0.9996739484838604,7939,0.10151279,-0.35963595,0.46114975,PHPT1,protein_coding,phosphohistidine phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:30033],9
ENSG00000184220,ENSG00000184220.11,1.0562743,0.11306687,9142,0.9935876535159222,21321,-0.14302158,0.31573552,0.45875812,CMSS1,protein_coding,cms1 ribosomal small subunit homolog [Source:HGNC Symbol;Acc:HGNC:28666],3
ENSG00000196754,ENSG00000196754.10,4.4264994,0.24748209,9201,1.0,5075,-0.34234285,-0.11162472,0.45396858,S100A2,protein_coding,S100 calcium binding protein A2 [Source:HGNC Symbol;Acc:HGNC:10492],1
ENSG00000135480,ENSG00000135480.15,3.3299005,0.15584011,9201,1.0,9095,-0.38896227,0.047083378,0.43604666,KRT7,protein_coding,keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445],12
ENSG00000170515,ENSG00000170515.13,2.117761,0.104593664,9201,1.0,793,-0.25223327,0.17870784,0.43094212,PA2G4,protein_coding,proliferation-associated 2G4 [Source:HGNC Symbol;Acc:HGNC:8550],12
ENSG00000115053,ENSG00000115053.15,1.9596936,0.18042003,9200,0.9998913161612868,11169,-0.2170186,0.20486581,0.42188543,NCL,protein_coding,nucleolin [Source:HGNC Symbol;Acc:HGNC:7667],2
ENSG00000136448,ENSG00000136448.11,0.66806316,0.09772239,8856,0.9625040756439518,7462,0.08765596,0.33142537,0.41908234,NMT1,protein_coding,N-myristoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7857],17
ENSG00000079785,ENSG00000079785.14,1.2317395,0.1150519,9184,0.998152374741876,19809,-0.115677476,0.29975808,0.41543657,DDX1,protein_coding,DEAD-box helicase 1 [Source:HGNC Symbol;Acc:HGNC:2734],2
ENSG00000189403,ENSG00000189403.14,1.7498026,0.16073738,9190,0.9988044777741548,7356,-0.14002037,0.26992333,0.4099447,HMGB1,protein_coding,high mobility group box 1 [Source:HGNC Symbol;Acc:HGNC:4983],13
ENSG00000106211,ENSG00000106211.8,2.6331232,0.1420668,9201,1.0,7166,-0.1909213,0.21047258,0.4013949,HSPB1,protein_coding,heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246],7
ENSG00000122026,ENSG00000122026.10,1.9307972,0.10702977,9193,0.9991305292902946,3941,-0.25545633,0.14352608,0.39898342,RPL21,protein_coding,ribosomal protein L21 [Source:HGNC Symbol;Acc:HGNC:10313],13
ENSG00000120708,ENSG00000120708.16,1.0303053,0.14962187,9153,0.9947831757417672,17298,-0.16466969,-0.2330302,0.3977009,TGFBI,protein_coding,transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771],5
ENSG00000213741,ENSG00000213741.10,4.2651644,0.113386415,9201,1.0,9958,-0.06451893,0.3236003,0.38812023,RPS29,protein_coding,ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419],14
ENSG00000125968,ENSG00000125968.8,1.1884155,0.24296272,9152,0.994674491903054,20253,-0.29086292,0.09568584,0.38654977,ID1,protein_coding,inhibitor of DNA binding 1 [Source:HGNC Symbol;Acc:HGNC:5360],20
ENSG00000110651,ENSG00000110651.11,0.59199315,0.086010635,8715,0.9471796543853928,14896,0.22801107,0.15812856,0.38614064,CD81,protein_coding,CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701],11
ENSG00000134046,ENSG00000134046.11,0.3778227,0.07440694,7711,0.8380610803173568,19653,0.25145513,0.13454658,0.38600272,MBD2,protein_coding,methyl-CpG binding domain protein 2 [Source:HGNC Symbol;Acc:HGNC:6917],18
ENSG00000177954,ENSG00000177954.12,3.7645092,0.09097856,9201,1.0,1238,-0.15217543,0.23146892,0.38364536,RPS27,protein_coding,ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416],1
ENSG00000125977,ENSG00000125977.6,1.9011533,0.0780505,9201,1.0,17810,-0.10007048,0.28304935,0.38312083,EIF2S2,protein_coding,eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266],20
ENSG00000248527,ENSG00000248527.1,1.0034709,0.11955415,9170,0.9966308009998912,37442,-0.18291163,0.19476682,0.37767947,MTATP6P1,unprocessed_pseudogene,MT-ATP6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44575],1
ENSG00000164182,ENSG00000164182.10,1.1136819,0.08255685,9180,0.9977176393870232,17697,-0.14548397,0.22393346,0.36941844,NDUFAF2,protein_coding,NADH:ubiquinone oxidoreductase complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:28086],5
ENSG00000185650,ENSG00000185650.9,1.1447788,0.1856661,9121,0.9913052929029452,7039,-0.34637862,0.019756794,0.36613643,ZFP36L1,protein_coding,ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107],14
ENSG00000185479,ENSG00000185479.5,0.6895946,0.1638278,8632,0.9381588957721988,3011,-0.3193801,0.037330568,0.3567117,KRT6B,protein_coding,keratin 6B [Source:HGNC Symbol;Acc:HGNC:6444],12
ENSG00000087088,ENSG00000087088.19,1.043066,0.104615934,9159,0.9954352787740464,2777,0.030826807,-0.32570744,0.35653526,BAX,protein_coding,"BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]",19
ENSG00000006125,ENSG00000006125.17,1.1531634,0.11193593,9174,0.997065536354744,16795,0.02443719,0.33055013,0.35498834,AP2B1,protein_coding,adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563],17
ENSG00000026025,ENSG00000026025.15,0.33412638,0.3453246,3836,0.4169112053037713,17999,-0.13897198,0.21518743,0.35416043,VIM,protein_coding,vimentin [Source:HGNC Symbol;Acc:HGNC:12692],10
ENSG00000169715,ENSG00000169715.14,2.0537176,0.3771544,9177,0.9973915878708836,20745,-0.29302943,-0.05996728,0.35299772,MT1E,protein_coding,metallothionein 1E [Source:HGNC Symbol;Acc:HGNC:7397],16
ENSG00000135046,ENSG00000135046.13,1.6510159,0.17423587,9200,0.9998913161612868,13962,-0.10241985,-0.24578285,0.34820372,ANXA1,protein_coding,annexin A1 [Source:HGNC Symbol;Acc:HGNC:533],9
ENSG00000221869,ENSG00000221869.4,0.98253196,0.14594153,9122,0.9914139767416584,22558,-0.24678504,0.09875935,0.3455454,CEBPD,protein_coding,CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835],8
ENSG00000113739,ENSG00000113739.10,0.2617221,0.07860272,5968,0.6486251494402783,3030,-0.20659629,0.1384305,0.3450278,STC2,protein_coding,stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374],5
ENSG00000111328,ENSG00000111328.6,0.81286806,0.09421229,9031,0.9815237474187588,9210,0.23492223,0.1097157,0.34463894,CDK2AP1,protein_coding,cyclin dependent kinase 2 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14002],12
ENSG00000130939,ENSG00000130939.18,0.26056424,0.076139905,5968,0.6486251494402783,1162,0.3386452,0.0059279203,0.34457412,UBE4B,protein_coding,ubiquitination factor E4B [Source:HGNC Symbol;Acc:HGNC:12500],1
ENSG00000181350,ENSG00000181350.11,2.3388295,0.09998451,9199,0.9997826323225736,16179,0.12522697,-0.21879196,0.34401995,LRRC75A,protein_coding,leucine rich repeat containing 75A [Source:HGNC Symbol;Acc:HGNC:32403],17
ENSG00000115163,ENSG00000115163.14,0.5016279,0.12637037,7777,0.8452342136724269,18885,0.2855643,0.05765161,0.34321693,CENPA,protein_coding,centromere protein A [Source:HGNC Symbol;Acc:HGNC:1851],2
ENSG00000110958,ENSG00000110958.15,1.5867858,0.15420398,9197,0.9995652646451472,7026,-0.1912514,0.15083611,0.34208852,PTGES3,protein_coding,prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049],12
ENSG00000064115,ENSG00000064115.10,0.7780558,0.11504926,8975,0.9754374524508206,4834,-0.0077195764,-0.33240575,0.34012634,TM7SF3,protein_coding,transmembrane 7 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:23049],12
ENSG00000182257,ENSG00000182257.7,0.68548834,0.097305074,8874,0.964460384740789,21226,-0.118195176,0.22154659,0.33974278,PRR34,lncRNA,PRR34 long non-coding RNA [Source:HGNC Symbol;Acc:HGNC:25606],22
ENSG00000270188,ENSG00000270188.1,1.7127212,0.16108653,9199,0.9997826323225736,824,0.21292889,-0.12599921,0.33892912,ENSG00000270188,,,
ENSG00000158417,ENSG00000158417.10,1.5918627,0.0894227,9199,0.9997826323225736,7057,-0.106373906,0.22789717,0.3342721,EIF5B,protein_coding,eukaryotic translation initiation factor 5B [Source:HGNC Symbol;Acc:HGNC:30793],2
ENSG00000152082,ENSG00000152082.13,2.221092,0.06707267,9200,0.9998913161612868,13423,0.1515429,-0.18201542,0.33355933,MZT2B,protein_coding,mitotic spindle organizing protein 2B [Source:HGNC Symbol;Acc:HGNC:25886],2
ENSG00000119705,ENSG00000119705.9,2.2360625,0.09258649,9199,0.9997826323225736,12780,-0.1620698,0.1690774,0.3311482,SLIRP,protein_coding,SRA stem-loop interacting RNA binding protein [Source:HGNC Symbol;Acc:HGNC:20495],14
ENSG00000007168,ENSG00000007168.12,0.7273857,0.08885255,9055,0.9841321595478753,10453,0.29986125,0.02910626,0.32896852,PAFAH1B1,protein_coding,platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574],17
ENSG00000124614,ENSG00000124614.15,0.9074279,0.07814207,9139,0.9932616019997826,17717,0.13395107,-0.19033235,0.32428443,RPS10,protein_coding,ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383],6
ENSG00000117395,ENSG00000117395.12,1.0792551,0.10939101,9160,0.9955439626127596,13863,-0.18303895,0.1412164,0.32425636,EBNA1BP2,protein_coding,EBNA1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15531],1
ENSG00000142864,ENSG00000142864.14,2.085194,0.074626684,9201,1.0,8049,-0.12587738,0.19782233,0.32370073,SERBP1,protein_coding,SERPINE1 mRNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17860],1
ENSG00000130066,ENSG00000130066.16,1.090338,0.16754733,9145,0.9939137050320618,12798,0.1730336,-0.14991713,0.32295173,SAT1,protein_coding,spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540],X
ENSG00000164104,ENSG00000164104.11,0.7716069,0.2318411,8164,0.8872948592544289,4549,-0.1766383,0.14508629,0.3217256,HMGB2,protein_coding,high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000],4
ENSG00000256618,ENSG00000256618.2,2.6532345,0.15426977,9201,1.0,21675,0.18110418,-0.13925385,0.32035905,ENSG00000256618,,,
ENSG00000165732,ENSG00000165732.12,1.7396712,0.105867945,9196,0.999456580806434,3867,-0.19175196,0.12844765,0.32020062,DDX21,protein_coding,DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744],10
ENSG00000170421,ENSG00000170421.12,1.6386466,0.1515847,9199,0.9997826323225736,13532,0.1655128,0.15396142,0.31947523,KRT8,protein_coding,keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446],12
ENSG00000145912,ENSG00000145912.8,0.66301644,0.08380342,8933,0.9708727312248668,6232,-0.13584036,0.18339151,0.31923288,NHP2,protein_coding,NHP2 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14377],5
ENSG00000189334,ENSG00000189334.8,3.3614898,0.13900742,9198,0.9996739484838604,9013,-0.23988986,-0.076997995,0.31688887,S100A14,protein_coding,S100 calcium binding protein A14 [Source:HGNC Symbol;Acc:HGNC:18901],1
ENSG00000187193,ENSG00000187193.8,1.0197977,0.23683874,8918,0.9692424736441692,14893,-0.19282663,0.1240257,0.31685334,MT1X,protein_coding,metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405],16
ENSG00000197191,ENSG00000197191.4,0.38142636,0.100331396,7207,0.7832844256059124,2772,0.09191573,-0.22485009,0.31676683,CYSRT1,protein_coding,cysteine rich tail 1 [Source:HGNC Symbol;Acc:HGNC:30529],9
ENSG00000130204,ENSG00000130204.12,1.3027772,0.10032889,9185,0.9982610585805892,15941,-0.20663369,0.10856271,0.3151974,TOMM40,protein_coding,translocase of outer mitochondrial membrane 40 [Source:HGNC Symbol;Acc:HGNC:18001],19
ENSG00000168003,ENSG00000168003.16,1.0248288,0.157875,9150,0.9944571242256276,1854,-0.2024532,0.11201459,0.3144688,SLC3A2,protein_coding,solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026],11
ENSG00000103187,ENSG00000103187.7,1.6743401,0.1028073,9198,0.9996739484838604,5621,-0.1821891,0.13223481,0.31442493,COTL1,protein_coding,coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304],16
ENSG00000165272,ENSG00000165272.15,0.651217,0.22511496,8206,0.8918595804803826,14076,0.03201413,0.27921456,0.3112297,AQP3,protein_coding,aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636],9
ENSG00000212907,ENSG00000212907.2,1.1381749,0.09941857,9194,0.9992392131290078,695,-0.06427455,0.24302828,0.30730385,MT-ND4L,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460],MT
ENSG00000075624,ENSG00000075624.14,3.4280446,0.10421944,9201,1.0,4891,-0.167629,0.13634682,0.30397683,ACTB,protein_coding,actin beta [Source:HGNC Symbol;Acc:HGNC:132],7
ENSG00000198830,ENSG00000198830.10,1.5453037,0.18224646,9159,0.9954352787740464,5455,0.038256764,0.26357234,0.3018301,HMGN2,protein_coding,high mobility group nucleosomal binding domain 2 [Source:HGNC Symbol;Acc:HGNC:4986],1
ENSG00000068745,ENSG00000068745.14,0.31537923,0.08083051,6918,0.7518747962178024,20230,0.27962458,0.020991474,0.30061707,IP6K2,protein_coding,inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:17313],3
ENSG00000105971,ENSG00000105971.14,1.1174585,0.11987211,9165,0.9960873818063254,10781,-0.26486874,-0.03494072,0.29981047,CAV2,protein_coding,caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528],7
ENSG00000197958,ENSG00000197958.12,4.090288,0.06730358,9201,1.0,16829,0.09951639,-0.20027018,0.29978758,RPL12,protein_coding,ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10302],9
ENSG00000228253,ENSG00000228253.1,0.54761314,0.082441404,8678,0.9431583523530052,691,0.07557589,0.22332665,0.29890355,MT-ATP8,protein_coding,mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415],MT
ENSG00000136810,ENSG00000136810.12,3.0974762,0.06570198,9201,1.0,16791,-0.097234964,-0.2005248,0.29776078,TXN,protein_coding,thioredoxin [Source:HGNC Symbol;Acc:HGNC:12435],9
ENSG00000117399,ENSG00000117399.13,0.7102874,0.20695382,8081,0.8782741006412347,7531,-0.17858833,0.11779404,0.29638338,CDC20,protein_coding,cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723],1
ENSG00000163811,ENSG00000163811.11,0.93819404,0.115511194,9119,0.9910879252255188,15371,-0.12539095,0.169375,0.29476696,WDR43,protein_coding,WD repeat domain 43 [Source:HGNC Symbol;Acc:HGNC:28945],2
ENSG00000142082,ENSG00000142082.14,0.21550778,0.12418357,4115,0.4472339963047494,16320,0.22196159,-0.07066941,0.292632,SIRT3,protein_coding,sirtuin 3 [Source:HGNC Symbol;Acc:HGNC:14931],11
ENSG00000229117,ENSG00000229117.8,3.8590238,0.08019854,9201,1.0,19666,-0.25065207,0.041558743,0.29221183,RPL41,protein_coding,ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:10354],12
ENSG00000111142,ENSG00000111142.13,1.2596077,0.08163422,9195,0.9993478969677208,4606,-0.06813109,0.22188509,0.2900172,METAP2,protein_coding,methionyl aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:16672],12
ENSG00000182307,ENSG00000182307.13,0.7371104,0.092687674,8980,0.9759808716443864,4186,-0.107919574,0.18021315,0.28813374,C8orf33,protein_coding,chromosome 8 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:26104],8
ENSG00000131669,ENSG00000131669.9,0.60213447,0.09700086,8683,0.943701771546571,18146,0.057605088,-0.2303893,0.2879954,NINJ1,protein_coding,ninjurin 1 [Source:HGNC Symbol;Acc:HGNC:7824],9
ENSG00000105048,ENSG00000105048.16,0.61205286,0.10261363,8656,0.940767307901315,4562,0.21291384,-0.07334691,0.28626177,TNNT1,protein_coding,"troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]",19
ENSG00000100097,ENSG00000100097.11,3.1440167,0.11719314,9201,1.0,17741,0.16613913,-0.1194756,0.28561574,LGALS1,protein_coding,galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561],22
ENSG00000088205,ENSG00000088205.12,1.2920141,0.09836021,9185,0.9982610585805892,2951,-0.19044757,0.09374499,0.28419358,DDX18,protein_coding,DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741],2
ENSG00000183648,ENSG00000183648.9,1.314081,0.09670663,9193,0.9991305292902946,1182,0.012734294,0.27113533,0.28387064,NDUFB1,protein_coding,NADH:ubiquinone oxidoreductase subunit B1 [Source:HGNC Symbol;Acc:HGNC:7695],14
ENSG00000100823,ENSG00000100823.11,0.8812599,0.09786267,9139,0.9932616019997826,2987,-0.1706149,0.112757504,0.28337342,APEX1,protein_coding,apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587],14
ENSG00000089685,ENSG00000089685.14,0.87188685,0.19814381,8497,0.9234865775459188,3328,-0.12294966,0.16009599,0.28304666,BIRC5,protein_coding,baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593],17
ENSG00000124795,ENSG00000124795.15,1.2044152,0.14110416,9118,0.9909792413868058,15096,-0.09524727,0.18748915,0.28273743,DEK,protein_coding,DEK proto-oncogene [Source:HGNC Symbol;Acc:HGNC:2768],6
ENSG00000134440,ENSG00000134440.11,0.6323935,0.08055599,8906,0.9679382675796108,2403,-0.07852793,0.20369661,0.28222555,NARS1,protein_coding,asparaginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7643],18
ENSG00000197728,ENSG00000197728.11,1.3465351,0.08408801,9193,0.9991305292902946,2638,0.13029313,-0.15165162,0.28194577,RPS26,protein_coding,ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:10414],12
ENSG00000160803,ENSG00000160803.7,0.32239646,0.06311435,7277,0.7908922943158352,6766,0.2631902,0.018727183,0.2819184,UBQLN4,protein_coding,ubiquilin 4 [Source:HGNC Symbol;Acc:HGNC:1237],1
ENSG00000167085,ENSG00000167085.11,1.764109,0.07906704,9200,0.9998913161612868,7138,-0.10015154,0.17951179,0.27966434,PHB1,protein_coding,prohibitin 1 [Source:HGNC Symbol;Acc:HGNC:8912],17
ENSG00000105281,ENSG00000105281.12,0.459072,0.07715842,8267,0.8984892946418868,14397,-0.14670953,0.13244945,0.27916,SLC1A5,protein_coding,solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943],19
ENSG00000137710,ENSG00000137710.15,1.3596308,0.096386544,9197,0.9995652646451472,18853,-0.03856957,0.23909247,0.27766305,RDX,protein_coding,radixin [Source:HGNC Symbol;Acc:HGNC:9944],11
ENSG00000107984,ENSG00000107984.9,0.683412,0.20132487,8359,0.9084882078034996,2459,-0.24339426,-0.032016516,0.27541178,DKK1,protein_coding,dickkopf Wnt signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891],10
ENSG00000139289,ENSG00000139289.13,0.6185273,0.12120761,8615,0.9363112705140746,1840,-0.22559834,0.048313737,0.2739131,PHLDA1,protein_coding,pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933],12
ENSG00000173207,ENSG00000173207.12,1.3965328,0.20853488,9123,0.9915226605803718,4163,-0.11718106,0.1556915,0.27287358,CKS1B,protein_coding,CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083],1
ENSG00000143183,ENSG00000143183.16,0.86547244,0.1022667,9130,0.992283447451364,5091,-0.008729935,0.26323658,0.27196753,TMCO1,protein_coding,transmembrane and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:18188],1
ENSG00000090273,ENSG00000090273.13,1.0106621,0.12340479,9164,0.9959786979676122,1930,-0.1391775,0.1319555,0.27113402,NUDC,protein_coding,"nuclear distribution C, dynein complex regulator [Source:HGNC Symbol;Acc:HGNC:8045]",1
ENSG00000184009,ENSG00000184009.11,2.8166149,0.11590277,9201,1.0,4053,-0.16855216,0.10088444,0.2694376,ACTG1,protein_coding,actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144],17
ENSG00000188643,ENSG00000188643.10,2.2507706,0.087658785,9201,1.0,5372,-0.16104984,0.10823512,0.26928598,S100A16,protein_coding,S100 calcium binding protein A16 [Source:HGNC Symbol;Acc:HGNC:20441],1
ENSG00000167656,ENSG00000167656.4,0.8279212,0.36966392,8349,0.9074013694163676,10259,-0.051974237,-0.21720952,0.26918477,LY6D,protein_coding,lymphocyte antigen 6 family member D [Source:HGNC Symbol;Acc:HGNC:13348],8
ENSG00000113407,ENSG00000113407.13,0.84034675,0.08599788,9129,0.9921747636126508,7131,-0.04489708,0.22422636,0.26912445,TARS1,protein_coding,threonyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:11572],5
ENSG00000125148,ENSG00000125148.6,4.1789813,0.51998407,9201,1.0,12148,-0.26343727,0.0044050217,0.2678433,MT2A,protein_coding,metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406],16
ENSG00000198840,ENSG00000198840.2,3.3252156,0.096759975,9201,1.0,694,-0.110072136,0.15669203,0.26676518,MT-ND3,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458],MT
ENSG00000114315,ENSG00000114315.3,0.8610189,0.17898941,8927,0.9702206281925878,20450,0.12699968,0.13965917,0.26665986,HES1,protein_coding,hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192],3
ENSG00000178980,ENSG00000178980.14,1.3061745,0.08745349,9187,0.9984784262580154,7627,0.15451503,0.111781955,0.266298,SELENOW,protein_coding,selenoprotein W [Source:HGNC Symbol;Acc:HGNC:10752],19
ENSG00000189159,ENSG00000189159.15,2.1031024,0.09960001,9200,0.9998913161612868,16503,-0.12651396,0.13675594,0.2632709,JPT1,protein_coding,Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569],17
ENSG00000077380,ENSG00000077380.15,0.65384966,0.090716965,8927,0.9702206281925878,19839,0.06076932,0.20240647,0.2631768,DYNC1I2,protein_coding,dynein cytoplasmic 1 intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2964],2
ENSG00000116161,ENSG00000116161.17,1.2711256,0.12748024,9171,0.9967394848386044,2076,-0.0930531,0.16704285,0.26009697,CACYBP,protein_coding,calcyclin binding protein [Source:HGNC Symbol;Acc:HGNC:30423],1
ENSG00000126777,ENSG00000126777.17,1.8912079,0.081405535,9196,0.999456580806434,13034,-0.03203392,0.22599876,0.2580337,KTN1,protein_coding,kinectin 1 [Source:HGNC Symbol;Acc:HGNC:6467],14
ENSG00000269028,ENSG00000269028.3,2.3892255,0.09917113,9200,0.9998913161612868,12918,0.14716935,-0.10996151,0.25713187,ENSG00000269028,,,
ENSG00000074800,ENSG00000074800.15,2.4073415,0.14041993,9201,1.0,6957,-0.13703394,0.1198616,0.25689656,ENO1,protein_coding,enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350],1
ENSG00000135316,ENSG00000135316.17,0.93439996,0.09852394,9149,0.9943484403869144,3671,-0.15270877,0.10407126,0.25678104,SYNCRIP,protein_coding,synaptotagmin binding cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:HGNC:16918],6
