gene_id,gene_full_id,mean_log,var_log,detected_cells,detected_fraction,original_index,acute_vs_control_log_delta,p53DN_vs_p53WT_log_delta,candidate_score,gene_symbol,biotype,description,seq_region_name
ENSG00000146066,ENSG00000146066.2,0.97255975,0.08359783,9149,0.9943484403869144,1522,0.1428504,-0.014457762,0.15730916,HIGD2A,protein_coding,HIG1 hypoxia inducible domain family member 2A [Source:HGNC Symbol;Acc:HGNC:28311],5
ENSG00000170791,ENSG00000170791.17,0.9727853,0.07551408,9167,0.9963047494837518,15268,-0.05914688,0.098095894,0.15724377,CHCHD7,protein_coding,coiled-coil-helix-coiled-coil-helix domain containing 7 [Source:HGNC Symbol;Acc:HGNC:28314],8
ENSG00000069329,ENSG00000069329.17,0.6509746,0.073009856,8987,0.9767416585153788,19778,-0.059803724,0.0972901,0.15709482,VPS35,protein_coding,VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487],16
ENSG00000141741,ENSG00000141741.11,0.645728,0.07172248,8957,0.9734811433539832,14869,0.14676708,-0.0097242,0.15649228,MIEN1,protein_coding,migration and invasion enhancer 1 [Source:HGNC Symbol;Acc:HGNC:28230],17
ENSG00000099385,ENSG00000099385.11,0.8547784,0.08919994,9096,0.9885881969351158,11401,0.11095023,0.045500517,0.15645175,BCL7C,protein_coding,BAF chromatin remodeling complex subunit BCL7C [Source:HGNC Symbol;Acc:HGNC:1006],16
ENSG00000163993,ENSG00000163993.6,0.3192134,0.1791472,5605,0.6091729159873926,18753,-0.0736652,0.08259821,0.15626441,S100P,protein_coding,S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504],4
ENSG00000188186,ENSG00000188186.10,0.9226168,0.07677908,9164,0.9959786979676122,22481,0.11536533,-0.04082638,0.1561927,LAMTOR4,protein_coding,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 4 [Source:HGNC Symbol;Acc:HGNC:33772]",7
ENSG00000142541,ENSG00000142541.16,3.0414987,0.086379185,9201,1.0,6985,0.019355297,-0.13678122,0.15613751,RPL13A,protein_coding,ribosomal protein L13a [Source:HGNC Symbol;Acc:HGNC:10304],19
ENSG00000136888,ENSG00000136888.6,1.149426,0.07179882,9192,0.9990218454515812,18144,0.050714374,-0.10524893,0.1559643,ATP6V1G1,protein_coding,ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864],9
ENSG00000123983,ENSG00000123983.13,0.5824126,0.075371,8886,0.9657645908053472,8555,-0.08660495,0.06907886,0.15568481,ACSL3,protein_coding,acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570],2
ENSG00000196743,ENSG00000196743.8,0.29520088,0.06850318,6872,0.7468753396369959,1326,-0.00075376034,-0.15473467,0.15548943,GM2A,protein_coding,ganglioside GM2 activator [Source:HGNC Symbol;Acc:HGNC:4367],5
ENSG00000117691,ENSG00000117691.9,1.4919468,0.06284725,9200,0.9998913161612868,2279,0.10378826,-0.051603317,0.15539257,NENF,protein_coding,neudesin neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:30384],1
ENSG00000143575,ENSG00000143575.14,0.8482122,0.07145256,9147,0.994131072709488,7935,0.047090888,0.10827029,0.15536217,HAX1,protein_coding,HCLS1 associated protein X-1 [Source:HGNC Symbol;Acc:HGNC:16915],1
ENSG00000132470,ENSG00000132470.13,0.5247095,0.09123065,8512,0.9251168351266168,19866,-0.098823726,-0.0564197,0.15524442,ITGB4,protein_coding,integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158],17
ENSG00000002330,ENSG00000002330.13,0.6444748,0.073077954,8929,0.970437995870014,13181,0.14537424,0.009496927,0.15487216,BAD,protein_coding,BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936],11
ENSG00000120738,ENSG00000120738.7,0.27159345,0.10122424,5578,0.6062384523421367,12458,0.120615244,-0.034224838,0.15484108,EGR1,protein_coding,early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238],5
ENSG00000131148,ENSG00000131148.8,0.690408,0.07996438,8946,0.9722856211281382,12357,-0.067305565,0.08745098,0.15475754,EMC8,protein_coding,ER membrane protein complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:7864],16
ENSG00000099817,ENSG00000099817.11,1.08099,0.070624456,9182,0.9979350070644496,20289,-0.03547752,0.11926818,0.1547467,POLR2E,protein_coding,"RNA polymerase II, I and III subunit E [Source:HGNC Symbol;Acc:HGNC:9192]",19
ENSG00000069849,ENSG00000069849.10,0.84125006,0.07997667,9126,0.9918487120965112,21676,-0.05000013,0.10461897,0.1546201,ATP1B3,protein_coding,ATPase Na+/K+ transporting subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:806],3
ENSG00000125971,ENSG00000125971.16,0.74178034,0.06814238,9098,0.988805564612542,11970,0.08639032,0.06803393,0.15442525,DYNLRB1,protein_coding,dynein light chain roadblock-type 1 [Source:HGNC Symbol;Acc:HGNC:15468],20
ENSG00000131143,ENSG00000131143.8,2.5278964,0.082766905,9201,1.0,17956,0.09563327,0.058424473,0.15405874,COX4I1,protein_coding,cytochrome c oxidase subunit 4I1 [Source:HGNC Symbol;Acc:HGNC:2265],16
