gene_id,gene_full_id,mean_log,var_log,detected_cells,detected_fraction,original_index
ENSG00000168374,ENSG00000168374.10,0.57117367,0.09326525,8796,0.9559830453211607,15630
ENSG00000131746,ENSG00000131746.12,0.57981795,0.08531218,8717,0.9473970220628193,15639
ENSG00000100353,ENSG00000100353.17,0.9647374,0.09235717,9162,0.9957613302901859,15641
ENSG00000048828,ENSG00000048828.16,0.7412562,0.06998081,9062,0.9848929464188675,15643
ENSG00000165704,ENSG00000165704.14,0.46149552,0.06763321,8468,0.9203347462232366,15674
ENSG00000134453,ENSG00000134453.15,0.8796057,0.09312398,9097,0.9886968807738289,15675
ENSG00000168061,ENSG00000168061.14,0.54305017,0.06875741,8709,0.9465275513531138,15699
ENSG00000067248,ENSG00000067248.9,0.62361187,0.065981016,8931,0.9706553635474405,15701
ENSG00000136261,ENSG00000136261.14,0.49621007,0.06673868,8640,0.9390283664819041,15706
ENSG00000126934,ENSG00000126934.13,1.0744629,0.08092895,9168,0.9964134333224649,15718
ENSG00000115541,ENSG00000115541.10,2.3326263,0.09160061,9201,1.0,15720
ENSG00000167978,ENSG00000167978.16,1.4492625,0.076306544,9200,0.9998913161612868,15725
ENSG00000148187,ENSG00000148187.17,0.5640118,0.062451735,8826,0.9592435604825562,15746
ENSG00000004779,ENSG00000004779.9,1.700695,0.062339623,9201,1.0,15781
ENSG00000122566,ENSG00000122566.21,1.8071471,0.12398276,9200,0.9998913161612868,15810
ENSG00000137807,ENSG00000137807.15,0.2637948,0.064446636,6247,0.6789479404412564,15813
ENSG00000114023,ENSG00000114023.15,0.6939414,0.07119621,9080,0.9868492555157048,15844
ENSG00000138095,ENSG00000138095.18,0.5086257,0.062327974,8734,0.9492446473209434,15845
ENSG00000186193,ENSG00000186193.8,0.30793908,0.07752172,6554,0.7123138789262037,15858
ENSG00000135521,ENSG00000135521.8,0.41878033,0.068855986,8135,0.8841430279317466,15883
ENSG00000109180,ENSG00000109180.14,0.5908888,0.07116009,8853,0.9621780241278122,15890
ENSG00000115234,ENSG00000115234.10,0.5637607,0.06272021,8848,0.9616346049342462,15901
ENSG00000174307,ENSG00000174307.6,0.98902875,0.08881658,9156,0.9951092272579067,15905
ENSG00000070961,ENSG00000070961.15,0.7440848,0.09017154,9033,0.9817411150961852,15915
ENSG00000071127,ENSG00000071127.16,0.6602433,0.070979364,8976,0.9755461362895338,15916
ENSG00000136770,ENSG00000136770.10,0.51036745,0.07035016,8560,0.9303336593848495,15926
ENSG00000108468,ENSG00000108468.14,0.6117692,0.08337685,8764,0.9525051624823389,15931
ENSG00000130204,ENSG00000130204.12,1.3027772,0.10032889,9185,0.9982610585805891,15941
ENSG00000136997,ENSG00000136997.17,1.0155437,0.23554483,8956,0.9733724595152701,15942
ENSG00000100603,ENSG00000100603.13,0.41086015,0.07047635,8126,0.8831648733833279,15952
ENSG00000184640,ENSG00000184640.17,0.65099865,0.0680431,9031,0.9815237474187588,15988
ENSG00000158604,ENSG00000158604.14,0.6703202,0.080778465,9013,0.9795674383219215,16044
ENSG00000155115,ENSG00000155115.6,1.0958453,0.06738338,9187,0.9984784262580154,16075
ENSG00000106245,ENSG00000106245.10,0.586474,0.06628098,8897,0.9669601130311922,16083
ENSG00000241468,ENSG00000241468.7,1.8312397,0.078833446,9199,0.9997826323225736,16085
ENSG00000136521,ENSG00000136521.12,0.67059577,0.0705846,9050,0.9835887403543093,16096
ENSG00000116750,ENSG00000116750.13,0.5610992,0.07260539,8749,0.9508749049016412,16105
ENSG00000169100,ENSG00000169100.13,2.7431524,0.07432583,9201,1.0,16129
ENSG00000176788,ENSG00000176788.8,0.82957345,0.11377821,9038,0.9822845342897512,16151
ENSG00000128699,ENSG00000128699.13,0.54231423,0.065732986,8744,0.9503314857080752,16161
ENSG00000101608,ENSG00000101608.12,1.3637424,0.09742205,9196,0.9994565808064341,16162
ENSG00000181350,ENSG00000181350.11,2.3388295,0.09998451,9199,0.9997826323225736,16179
ENSG00000196465,ENSG00000196465.10,0.4814139,0.061796263,8619,0.9367460058689273,16182
ENSG00000137106,ENSG00000137106.17,0.7627902,0.069486886,9104,0.9894576676448212,16199
ENSG00000113460,ENSG00000113460.12,0.59638464,0.105548814,8708,0.9464188675144006,16204
ENSG00000141522,ENSG00000141522.11,1.1351144,0.08064627,9184,0.9981523747418759,16228
ENSG00000182628,ENSG00000182628.12,0.7398648,0.088635296,9000,0.9781545484186501,16230
ENSG00000168894,ENSG00000168894.9,0.677813,0.076392904,9020,0.9803282251929138,16232
ENSG00000106628,ENSG00000106628.10,1.2541105,0.07772361,9187,0.9984784262580154,16257
ENSG00000166295,ENSG00000166295.8,1.1467326,0.07415653,9180,0.9977176393870232,16271
ENSG00000166451,ENSG00000166451.13,0.4875356,0.07591728,8258,0.8975111400934681,16273
ENSG00000146731,ENSG00000146731.10,1.5608332,0.09488026,9198,0.9996739484838605,16276
ENSG00000113575,ENSG00000113575.9,0.6319212,0.07854515,8922,0.9696772089990219,16288
ENSG00000173674,ENSG00000173674.10,1.8924142,0.09068849,9199,0.9997826323225736,16295
ENSG00000185651,ENSG00000185651.14,0.9682937,0.08369021,9167,0.9963047494837518,16316
ENSG00000142082,ENSG00000142082.14,0.21550778,0.12418357,4115,0.44723399630474947,16320
ENSG00000125166,ENSG00000125166.12,0.6933348,0.06735025,9039,0.9823932181284643,16336
ENSG00000160213,ENSG00000160213.7,2.0513954,0.06831638,9200,0.9998913161612868,16338
ENSG00000241553,ENSG00000241553.12,0.6897724,0.08455725,9003,0.9784805999347898,16357
ENSG00000151092,ENSG00000151092.16,0.26547164,0.088976294,6570,0.7140528203456146,16366
ENSG00000114353,ENSG00000114353.16,0.66738135,0.0875104,8927,0.9702206281925878,16421
ENSG00000144895,ENSG00000144895.11,0.52848524,0.06254528,8749,0.9508749049016412,16434
ENSG00000008838,ENSG00000008838.19,0.6101708,0.104802854,8619,0.9367460058689273,16439
ENSG00000124193,ENSG00000124193.14,0.5590194,0.080018125,8788,0.9551135746114553,16463
ENSG00000172428,ENSG00000172428.10,1.6116215,0.06607438,9198,0.9996739484838605,16478
ENSG00000130725,ENSG00000130725.7,0.9900638,0.099953055,9116,0.9907618737093794,16498
ENSG00000189159,ENSG00000189159.15,2.1031024,0.09960001,9200,0.9998913161612868,16503
ENSG00000100804,ENSG00000100804.18,1.4734328,0.09061778,9198,0.9996739484838605,16520
ENSG00000128829,ENSG00000128829.11,0.5300989,0.06140187,8738,0.9496793826757961,16528
ENSG00000178719,ENSG00000178719.16,0.83835846,0.08317855,9100,0.9890229322899685,16529
ENSG00000134057,ENSG00000134057.14,0.6766103,0.24442229,8177,0.8887077491577002,16550
ENSG00000100028,ENSG00000100028.11,0.9532877,0.10552909,9150,0.9944571242256276,16596
ENSG00000125826,ENSG00000125826.20,0.52266943,0.067651525,8674,0.9427236169981523,16607
ENSG00000228716,ENSG00000228716.6,0.45602646,0.06964102,8272,0.8990327138354527,16618
ENSG00000171208,ENSG00000171208.9,0.6616969,0.07406923,8936,0.9711987827410065,16622
ENSG00000025708,ENSG00000025708.13,0.49530596,0.08300305,8475,0.9210955330942289,16635
ENSG00000181610,ENSG00000181610.12,0.67991817,0.08024046,9015,0.9797848059993479,16639
ENSG00000101150,ENSG00000101150.17,0.548435,0.061264843,8826,0.9592435604825562,16689
ENSG00000123219,ENSG00000123219.12,0.37397632,0.0667754,7544,0.8199108792522551,16707
ENSG00000213585,ENSG00000213585.10,1.6935797,0.07174345,9201,1.0,16719
ENSG00000174886,ENSG00000174886.12,1.231862,0.061797023,9195,0.9993478969677209,16720
ENSG00000184007,ENSG00000184007.20,1.0160632,0.07742564,9178,0.9975002717095968,16732
ENSG00000131747,ENSG00000131747.14,0.79818827,0.36573038,7712,0.83816976415607,16733
ENSG00000114738,ENSG00000114738.10,0.594017,0.07074548,8858,0.9627214433213781,16735
ENSG00000177508,ENSG00000177508.11,0.39938858,0.09480676,7456,0.810346701445495,16747
ENSG00000131100,ENSG00000131100.12,0.62240005,0.08437805,8947,0.9723943049668514,16781
ENSG00000177885,ENSG00000177885.14,0.5724022,0.06926026,8884,0.9655472231279209,16782
ENSG00000136810,ENSG00000136810.12,3.0974762,0.06570198,9201,1.0,16791
ENSG00000006125,ENSG00000006125.17,1.1531634,0.11193593,9174,0.997065536354744,16795
ENSG00000164713,ENSG00000164713.9,1.6137769,0.103979975,9194,0.9992392131290078,16797
ENSG00000055332,ENSG00000055332.17,0.5349678,0.061709434,8796,0.9559830453211607,16800
ENSG00000182180,ENSG00000182180.13,1.1816382,0.06714483,9196,0.9994565808064341,16803
ENSG00000160194,ENSG00000160194.17,0.9524779,0.06871329,9169,0.9965221171611781,16824
ENSG00000129625,ENSG00000129625.12,1.0644858,0.080831826,9192,0.9990218454515813,16825
ENSG00000197958,ENSG00000197958.12,4.090288,0.06730358,9201,1.0,16829
ENSG00000180879,ENSG00000180879.13,1.3557776,0.0634877,9194,0.9992392131290078,16836
ENSG00000161513,ENSG00000161513.11,0.34624505,0.061793588,7678,0.8344745136398217,16844
ENSG00000034510,ENSG00000034510.5,4.492085,0.072334066,9201,1.0,16845
ENSG00000165644,ENSG00000165644.10,0.52323097,0.06746106,8680,0.9433757200304315,16865
ENSG00000141385,ENSG00000141385.9,0.66292036,0.07664094,8930,0.9705466797087273,16867
ENSG00000107262,ENSG00000107262.21,0.5031119,0.06448727,8663,0.9415280947723074,16874
ENSG00000099622,ENSG00000099622.13,0.7678235,0.076592766,9080,0.9868492555157048,16875
ENSG00000172318,ENSG00000172318.5,0.34627935,0.21571645,6015,0.6537332898597978,16883
ENSG00000168887,ENSG00000168887.10,0.39514026,0.06663227,8000,0.8694707097054668,16884
ENSG00000183617,ENSG00000183617.4,0.68799657,0.06882494,9033,0.9817411150961852,16885
ENSG00000188486,ENSG00000188486.3,0.4991371,0.09470657,8024,0.8720791218345832,16934
ENSG00000197771,ENSG00000197771.12,0.38900608,0.06058817,8018,0.8714270188023041,16937
ENSG00000101444,ENSG00000101444.12,1.0111067,0.07559847,9169,0.9965221171611781,16977
ENSG00000136271,ENSG00000136271.10,0.35403255,0.06163488,7750,0.842299750027171,16990
ENSG00000184924,ENSG00000184924.5,0.51727545,0.061374933,8708,0.9464188675144006,17000
ENSG00000174695,ENSG00000174695.9,1.2674694,0.06587062,9187,0.9984784262580154,17001
ENSG00000173237,ENSG00000173237.4,0.17915723,0.075045824,4289,0.4661449842408434,17006
ENSG00000116044,ENSG00000116044.15,0.61758655,0.06982125,8930,0.9705466797087273,17022
ENSG00000062716,ENSG00000062716.12,0.9025507,0.1340994,9120,0.9911966090642321,17026
ENSG00000149100,ENSG00000149100.12,0.679747,0.07269533,8993,0.9773937615476579,17033
ENSG00000178605,ENSG00000178605.13,0.4851482,0.061235342,8589,0.9334854907075318,17034
ENSG00000262919,ENSG00000262919.7,0.5176945,0.06619735,8601,0.93478969677209,17038
ENSG00000106803,ENSG00000106803.9,1.630907,0.06051703,9198,0.9996739484838605,17042
ENSG00000165916,ENSG00000165916.8,0.54893064,0.075301886,8755,0.9515270079339202,17069
ENSG00000125970,ENSG00000125970.11,0.8359524,0.07042655,9128,0.9920660797739376,17074
ENSG00000175063,ENSG00000175063.16,0.8620605,0.38520065,8203,0.891533528964243,17080
ENSG00000153044,ENSG00000153044.9,0.42275256,0.06455926,8126,0.8831648733833279,17089
ENSG00000148175,ENSG00000148175.12,0.9043057,0.08894612,9161,0.9956526464514727,17098
ENSG00000119655,ENSG00000119655.10,1.6134331,0.10923339,9201,1.0,17122
ENSG00000139233,ENSG00000139233.6,0.53063434,0.07232191,8779,0.9541354200630366,17144
ENSG00000089356,ENSG00000089356.18,0.50262076,0.095000304,8359,0.9084882078034996,17145
ENSG00000197102,ENSG00000197102.11,0.6794235,0.07330906,9023,0.9806542767090534,17153
ENSG00000116133,ENSG00000116133.12,0.64588356,0.076456346,8967,0.9745679817411151,17163
ENSG00000100612,ENSG00000100612.13,0.50953525,0.06946068,8658,0.9409846755787414,17183
ENSG00000166145,ENSG00000166145.14,0.4823547,0.064561196,8562,0.9305510270622759,17184
ENSG00000100413,ENSG00000100413.16,0.4996517,0.06409113,8593,0.9339202260623846,17195
ENSG00000167779,ENSG00000167779.8,0.6119266,0.11635534,8620,0.9368546897076405,17220
ENSG00000255302,ENSG00000255302.4,0.9526084,0.09223235,9177,0.9973915878708836,17228
ENSG00000196262,ENSG00000196262.13,2.7240431,0.07408848,9201,1.0,17231
ENSG00000172757,ENSG00000172757.12,2.463504,0.08760563,9201,1.0,17263
ENSG00000155660,ENSG00000155660.10,0.5260731,0.070061386,8740,0.9498967503532225,17269
ENSG00000081154,ENSG00000081154.11,0.5912242,0.061784897,8913,0.9686990544506032,17270
ENSG00000174173,ENSG00000174173.6,0.3940198,0.06726115,8003,0.8697967612216063,17273
ENSG00000130726,ENSG00000130726.11,0.5969434,0.07456459,8834,0.9601130311922617,17279
ENSG00000123130,ENSG00000123130.16,0.6568491,0.07773352,9003,0.9784805999347898,17283
ENSG00000120708,ENSG00000120708.16,1.0303053,0.14962187,9153,0.9947831757417672,17298
ENSG00000151327,ENSG00000151327.12,0.7277663,0.070008695,9051,0.9836974241930225,17307
ENSG00000125458,ENSG00000125458.6,0.50656784,0.06146989,8651,0.9402238887077492,17319
ENSG00000108344,ENSG00000108344.14,0.76727974,0.074711934,9083,0.9871753070318444,17331
ENSG00000169599,ENSG00000169599.12,0.5681075,0.061882205,8851,0.9619606564503859,17336
ENSG00000132475,ENSG00000132475.10,2.253086,0.09290415,9201,1.0,17340
ENSG00000185608,ENSG00000185608.8,0.88449204,0.07875232,9148,0.9942397565482013,17343
ENSG00000187514,ENSG00000187514.16,3.3119006,0.13073619,9201,1.0,17344
ENSG00000151923,ENSG00000151923.17,0.7016911,0.06645347,9044,0.9829366373220302,17347
ENSG00000166508,ENSG00000166508.17,0.5814661,0.11564008,8400,0.9129442451907401,17350
ENSG00000084090,ENSG00000084090.13,0.51599294,0.06114144,8724,0.9481578089338115,17354
ENSG00000107833,ENSG00000107833.10,1.2626017,0.09393545,9173,0.9969568525160308,17377
ENSG00000162961,ENSG00000162961.13,0.7846319,0.07037559,9095,0.9884795130964026,17438
ENSG00000130312,ENSG00000130312.6,0.71659356,0.070476405,9060,0.9846755787414412,17449
ENSG00000103260,ENSG00000103260.8,1.0261804,0.13091692,9128,0.9920660797739376,17457
ENSG00000213465,ENSG00000213465.7,0.66708034,0.0699838,8994,0.9775024453863711,17462
ENSG00000084754,ENSG00000084754.11,0.67640126,0.08480014,9004,0.9785892837735028,17468
ENSG00000067082,ENSG00000067082.14,0.7386822,0.14773397,8791,0.9554396261275948,17482
ENSG00000102103,ENSG00000102103.15,0.67588234,0.0682115,9034,0.9818497989348984,17498
ENSG00000106399,ENSG00000106399.11,1.1488,0.09928325,9168,0.9964134333224649,17499
ENSG00000103257,ENSG00000103257.8,1.2374201,0.11004863,9182,0.9979350070644495,17512
ENSG00000119421,ENSG00000119421.6,1.1245676,0.08952172,9185,0.9982610585805891,17548
ENSG00000134363,ENSG00000134363.11,0.117192075,0.06712655,2734,0.2971416150418433,17556
ENSG00000122545,ENSG00000122545.19,0.8362203,0.09905549,9108,0.989892402999674,17560
ENSG00000006451,ENSG00000006451.7,0.60549927,0.06684352,8882,0.9653298554504945,17569
ENSG00000107581,ENSG00000107581.12,1.0990951,0.09829982,9176,0.9972829040321705,17570
ENSG00000120992,ENSG00000120992.17,1.1349868,0.06645239,9187,0.9984784262580154,17574
ENSG00000145425,ENSG00000145425.9,1.9478477,0.100670144,9200,0.9998913161612868,17607
ENSG00000114125,ENSG00000114125.13,0.8372854,0.07038816,9137,0.9930442343223562,17619
ENSG00000166250,ENSG00000166250.11,0.54718775,0.079532705,8670,0.9422888816432996,17627
ENSG00000134333,ENSG00000134333.13,2.0678134,0.08856843,9201,1.0,17629
ENSG00000163682,ENSG00000163682.16,0.51186204,0.06987875,8573,0.9317465492881208,17633
ENSG00000184900,ENSG00000184900.15,0.72345173,0.07521043,9009,0.9791327029670688,17669
ENSG00000063660,ENSG00000063660.8,0.44900355,0.061827738,8432,0.916422128029562,17679
ENSG00000134308,ENSG00000134308.13,1.3294815,0.07542447,9196,0.9994565808064341,17683
ENSG00000164182,ENSG00000164182.10,1.1136819,0.08255685,9180,0.9977176393870232,17697
ENSG00000073350,ENSG00000073350.13,0.41127312,0.06348258,8072,0.877295946092816,17700
ENSG00000084463,ENSG00000084463.7,0.58351874,0.07175898,8787,0.9550048907727421,17715
ENSG00000124614,ENSG00000124614.15,0.9074279,0.07814207,9139,0.9932616019997826,17717
ENSG00000100097,ENSG00000100097.11,3.1440167,0.11719314,9201,1.0,17741
ENSG00000006634,ENSG00000006634.7,0.37333745,0.071444854,7544,0.8199108792522551,17754
ENSG00000183011,ENSG00000183011.13,0.90971357,0.072989374,9145,0.9939137050320618,17761
ENSG00000228300,ENSG00000228300.13,0.6885757,0.0716398,8980,0.9759808716443865,17771
ENSG00000124942,ENSG00000124942.13,1.0477524,0.09060613,9179,0.99760895554831,17776
ENSG00000150782,ENSG00000150782.11,0.8152104,0.092686094,9105,0.9895663514835344,17781
ENSG00000110696,ENSG00000110696.9,0.6868576,0.07308504,9034,0.9818497989348984,17786
ENSG00000165609,ENSG00000165609.12,0.84771305,0.091491476,9122,0.9914139767416585,17790
ENSG00000135972,ENSG00000135972.8,0.39285713,0.06299226,8102,0.8805564612542115,17801
ENSG00000128340,ENSG00000128340.14,0.41897216,0.063496396,8185,0.8895772198674057,17802
ENSG00000125977,ENSG00000125977.6,1.9011533,0.0780505,9201,1.0,17810
ENSG00000101057,ENSG00000101057.15,0.583097,0.11261113,8194,0.8905553744158243,17812
ENSG00000119048,ENSG00000119048.7,0.79921246,0.07114175,9114,0.9905445060319531,17819
ENSG00000115129,ENSG00000115129.13,0.3816774,0.062536255,7974,0.866644929898924,17857
ENSG00000164897,ENSG00000164897.12,0.48092508,0.062105775,8526,0.9266384088686013,17869
ENSG00000183741,ENSG00000183741.11,0.44307977,0.112289645,7732,0.8403434409303336,17888
ENSG00000065911,ENSG00000065911.11,0.79122216,0.08807965,9064,0.9851103140962939,17894
ENSG00000103121,ENSG00000103121.8,0.5213115,0.068581566,8606,0.9353331159656559,17906
ENSG00000184076,ENSG00000184076.13,1.7548655,0.06315984,9199,0.9997826323225736,17913
ENSG00000108826,ENSG00000108826.15,1.0332344,0.07965137,9176,0.9972829040321705,17918
ENSG00000140350,ENSG00000140350.15,0.74288154,0.08825593,9011,0.9793500706444952,17929
ENSG00000176386,ENSG00000176386.8,0.8491465,0.0767358,9126,0.9918487120965113,17935
ENSG00000106554,ENSG00000106554.12,0.8183815,0.07817151,9098,0.9888055646125421,17947
ENSG00000168288,ENSG00000168288.12,0.78064823,0.07002893,9085,0.9873926747092707,17949
ENSG00000131143,ENSG00000131143.8,2.5278964,0.082766905,9201,1.0,17956
ENSG00000179271,ENSG00000179271.2,1.4039389,0.065367445,9193,0.9991305292902946,17959
ENSG00000249915,ENSG00000249915.7,0.8863695,0.06495816,9157,0.99521791109662,17962
ENSG00000198843,ENSG00000198843.12,0.53061116,0.0625607,8799,0.9563090968373003,17979
ENSG00000170860,ENSG00000170860.3,1.6318908,0.0968499,9193,0.9991305292902946,17981
ENSG00000141027,ENSG00000141027.20,0.6731366,0.06842577,9007,0.9789153352896425,17986
ENSG00000163170,ENSG00000163170.11,1.6120107,0.08269048,9188,0.9985871100967286,17994
ENSG00000026025,ENSG00000026025.15,0.33412638,0.3453246,3836,0.41691120530377135,17999
ENSG00000161547,ENSG00000161547.16,1.2991464,0.11323565,9194,0.9992392131290078,18008
ENSG00000100592,ENSG00000100592.15,0.30273917,0.066277735,6926,0.7527442669275078,18020
ENSG00000179912,ENSG00000179912.20,0.44384247,0.06445018,8357,0.9082708401260733,18029
ENSG00000100906,ENSG00000100906.10,0.64756453,0.1167665,8847,0.9615259210955331,18055
ENSG00000096696,ENSG00000096696.13,0.54728717,0.08009712,8734,0.9492446473209434,18079
ENSG00000111057,ENSG00000111057.10,2.8730702,0.08415989,9201,1.0,18088
ENSG00000127445,ENSG00000127445.13,0.6595652,0.06398936,8995,0.9776111292250842,18097
