gene_id	gene_symbol	biotype	description	seq_region_name
ENSG00000015475	BID	protein_coding	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	22
ENSG00000196642	RABL6	protein_coding	RAB, member RAS oncogene family like 6 [Source:HGNC Symbol;Acc:HGNC:24703]	9
ENSG00000164733	CTSB	protein_coding	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	8
ENSG00000100142	POLR2F	protein_coding	RNA polymerase II, I and III subunit F [Source:HGNC Symbol;Acc:HGNC:9193]	22
ENSG00000166562	SEC11C	protein_coding	SEC11 homolog C, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:23400]	18
ENSG00000091164	TXNL1	protein_coding	thioredoxin like 1 [Source:HGNC Symbol;Acc:HGNC:12436]	18
ENSG00000181924	COA4	protein_coding	cytochrome c oxidase assembly factor 4 homolog [Source:HGNC Symbol;Acc:HGNC:24604]	11
ENSG00000134851	TMEM165	protein_coding	transmembrane protein 165 [Source:HGNC Symbol;Acc:HGNC:30760]	4
ENSG00000168090	COPS6	protein_coding	COP9 signalosome subunit 6 [Source:HGNC Symbol;Acc:HGNC:21749]	7
ENSG00000101132	PFDN4	protein_coding	prefoldin subunit 4 [Source:HGNC Symbol;Acc:HGNC:8868]	20
ENSG00000149923	PPP4C	protein_coding	protein phosphatase 4 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9319]	16
ENSG00000104408	EIF3E	protein_coding	eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277]	8
ENSG00000116209	TMEM59	protein_coding	transmembrane protein 59 [Source:HGNC Symbol;Acc:HGNC:1239]	1
ENSG00000006757	PNPLA4	protein_coding	patatin like domain 4, phospholipase and triacylglycerol lipase  [Source:HGNC Symbol;Acc:HGNC:24887]	X
ENSG00000139324	TMTC3	protein_coding	transmembrane O-mannosyltransferase targeting cadherins 3 [Source:HGNC Symbol;Acc:HGNC:26899]	12
ENSG00000180879	SSR4	protein_coding	signal sequence receptor subunit 4 [Source:HGNC Symbol;Acc:HGNC:11326]	X
ENSG00000100387	RBX1	protein_coding	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	22
ENSG00000104331	BPNT2	protein_coding	3'(2'), 5'-bisphosphate nucleotidase 2 [Source:HGNC Symbol;Acc:HGNC:26019]	8
ENSG00000151729	SLC25A4	protein_coding	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	4
ENSG00000158042	MRPL17	protein_coding	mitochondrial ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:14053]	11
ENSG00000115641	FHL2	protein_coding	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]	2
ENSG00000172366	MCRIP2	protein_coding	MAPK regulated corepressor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:14142]	16
ENSG00000162819	BROX	protein_coding	BRO1 domain and CAAX motif containing [Source:HGNC Symbol;Acc:HGNC:26512]	1
ENSG00000173801	JUP	protein_coding	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	17
ENSG00000090487	SPG21	protein_coding	SPG21 abhydrolase domain containing, maspardin [Source:HGNC Symbol;Acc:HGNC:20373]	15
ENSG00000156170	NDUFAF6	protein_coding	NADH:ubiquinone oxidoreductase complex assembly factor 6 [Source:HGNC Symbol;Acc:HGNC:28625]	8
ENSG00000188290	HES4	protein_coding	hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149]	1
