accuracy,balanced_accuracy,macro_f1,model,target,ari,nmi
0.2698826597131681,0.2626274763502824,0.2645570269921231,kmeans_hvg,condition,0.0490939415289697,0.064327381684999
0.2781399391568883,0.2687624922260095,0.2424327633016901,pca_kmeans,condition,0.0511674313693973,0.0623790283904472
0.9834854411125598,0.983714649353404,0.9834482993609353,logistic_pca,p53,,
0.9643633202955236,0.9633019947120812,0.9641835888620268,random_forest_pca,p53,,
0.9860930030421556,0.9860544398063622,0.9860544398063622,mlp_pca,p53,,
0.9939156888309432,0.9934219176522996,0.9936141663308544,logistic_pca,cenpa,,
0.9526292916123424,0.9497140984997144,0.9507068757464032,random_forest_pca,cenpa,,
0.987831377661886,0.987125899940858,0.9874879122982824,mlp_pca,cenpa,,
0.9817470664928292,0.9802580762016242,0.979744068626518,logistic_pca,condition,,
0.9239461103867884,0.916281831699775,0.9180326861009996,random_forest_pca,condition,,
0.9778357235984356,0.9753109986082354,0.9755324807394814,mlp_pca,condition,,
0.9156888309430682,0.9081743905547124,0.9084197591786234,homogeneous_gcn_cell_knn,condition,,
0.9830508474576272,0.9832101000765155,0.9830105960613452,hgt_multitask,p53,,
0.9847892220773576,0.9839055439943852,0.984292876605684,hgt_multitask,cenpa,,
0.970013037809648,0.9673283723301256,0.9672811399764504,hgt_multitask,condition,,
